iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.832982227325,0.828132687327,0.833840709434,0.1484375,0.15,0.146,0.0970097034739,0.0988487549702,0.0988585358384,132.4463826
10,0.909969580225,0.913102094346,0.910083347964,0.07171875,0.069375,0.0735,0.0512813772742,0.0478845600761,0.0468039684399,1678.9756193
20,0.923534481124,0.91996345256,0.923243150827,0.0625,0.06875,0.065,0.0343482677507,0.037398238486,0.0365999511981,3265.8820092
30,0.896171921292,0.891013186607,0.894080106302,0.09171875,0.095625,0.0935,0.0378815749156,0.0400190199448,0.0355353990966,4850.31319
40,0.87811223488,0.871796534428,0.87895071512,0.1096875,0.113125,0.109,0.0533953016553,0.0586280798968,0.0524683855146,6318.1098678
50,0.861709174144,0.864074829925,0.863469970335,0.12515625,0.12375,0.1225,0.0728407416306,0.0746658516753,0.0695402505263,7726.2559179
60,0.861697519943,0.86411047296,0.863476297982,0.1253125,0.12375,0.123,0.0730527411497,0.0746658516753,0.0703583847817,9270.7137306
70,0.861681155553,0.86384419941,0.863323090303,0.125,0.12375,0.1225,0.0724874773816,0.0747440887518,0.0695476839517,10677.1470016
80,0.861859469786,0.864296806489,0.863473572128,0.1246875,0.12375,0.123,0.0724255316049,0.0746877110003,0.0703551681451,12232.6033748
90,0.861653573812,0.863926548731,0.863250196224,0.12484375,0.12375,0.1225,0.0725835934748,0.0747096076917,0.0695611764971,13683.599647
100,0.861590962156,0.863907173956,0.863255081285,0.125,0.12375,0.1225,0.0726102384586,0.0747315418454,0.0695611764971,15146.1703132
110,0.861591981273,0.863823630962,0.863116069905,0.1246875,0.123125,0.123,0.0722991226039,0.0737784702614,0.0703769372124,16657.3077953
120,0.861637088987,0.863897256108,0.863258388606,0.12484375,0.12375,0.1225,0.0724957949284,0.0747096076917,0.0695661640282,18240.7272653
