mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__max_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.5289844036102295,0.081781005859375,0.228,0.22893749999999996,1,{'SVM__max_iter': 1},5,0.215,0.22171875,0.214375,0.22609375,0.203125,0.20875,0.264375,0.25046875,0.243125,0.23765625,0.012126309740877762,0.0018923284732020175,0.02247359561796911,0.014193968789595116
0.6159519672393798,0.1773256778717041,0.342625,0.3390625,2,{'SVM__max_iter': 2},4,0.323125,0.33578125,0.380625,0.36921875,0.341875,0.335,0.325,0.3125,0.3425,0.3428125,0.036045887848759985,0.007119724779723634,0.02066624663551657,0.018200543003575466
0.8750582695007324,0.3552501678466797,0.431875,0.43853125000000004,4,{'SVM__max_iter': 4},3,0.394375,0.41625,0.45875,0.46703125,0.44,0.45296875,0.4125,0.40390625,0.45375,0.4525,0.04101798518915814,0.02352008983197633,0.024691850882426782,0.024129492781138184
1.3208665370941162,0.6570423603057861,0.506375,0.5157499999999999,8,{'SVM__max_iter': 8},2,0.458125,0.4784375,0.53875,0.56859375,0.5175,0.5296875,0.513125,0.50234375,0.504375,0.4996875,0.045421749452630285,0.017496345185710308,0.0266440659434704,0.031037622079904896
2.2579594612121583,1.1920111656188965,0.59175,0.61284375,16,{'SVM__max_iter': 16},1,0.593125,0.656875,0.60125,0.6259375,0.5675,0.59078125,0.588125,0.58921875,0.60875,0.60140625,0.03887781539646133,0.06029831304091622,0.014016731073970131,0.02563555422894148
