mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_Boost__base_estimator__max_depth,param_Boost__n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.6544539928436279,0.021936368942260743,0.5943997647184284,0.5966674267156389,1,1,"{'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 1}",53,0.6033475015096478,0.5960360449935588,0.6068789402331606,0.595304739507348,0.576214573399151,0.5946401684112648,0.5948674228383621,0.5981552840331074,0.5906856203820396,0.5992008966329156,0.014181983941868542,0.0006399832290269067,0.010775692612621561,0.001731907893518657
0.7061159133911132,0.0241300106048584,0.5943997647184284,0.5966674267156389,1,2,"{'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 2}",53,0.6033475015096478,0.5960360449935588,0.6068789402331606,0.595304739507348,0.576214573399151,0.5946401684112648,0.5948674228383621,0.5981552840331074,0.5906856203820396,0.5992008966329156,0.011194751042303172,0.0007554584625903012,0.010775692612621561,0.001731907893518657
0.8431441783905029,0.027127838134765624,0.5943997647184284,0.5966674267156389,1,5,"{'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 5}",53,0.6033475015096478,0.5960360449935588,0.6068789402331606,0.595304739507348,0.576214573399151,0.5946401684112648,0.5948674228383621,0.5981552840331074,0.5906856203820396,0.5992008966329156,0.04332030240913552,0.0014655129355777136,0.010775692612621561,0.001731907893518657
0.8535165309906005,0.027326631546020507,0.5943997647184284,0.5966674267156389,1,10,"{'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 10}",53,0.6033475015096478,0.5960360449935588,0.6068789402331606,0.595304739507348,0.576214573399151,0.5946401684112648,0.5948674228383621,0.5981552840331074,0.5906856203820396,0.5992008966329156,0.05171337314264018,0.0022388591343884975,0.010775692612621561,0.001731907893518657
0.8533215045928955,0.027920246124267578,0.5943997647184284,0.5966674267156389,1,20,"{'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 20}",53,0.6033475015096478,0.5960360449935588,0.6068789402331606,0.595304739507348,0.576214573399151,0.5946401684112648,0.5948674228383621,0.5981552840331074,0.5906856203820396,0.5992008966329156,0.04758864735110945,0.0008914878697633728,0.010775692612621561,0.001731907893518657
0.8571068286895752,0.026927614212036134,0.5943997647184284,0.5966674267156389,1,30,"{'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 30}",53,0.6033475015096478,0.5960360449935588,0.6068789402331606,0.595304739507348,0.576214573399151,0.5946401684112648,0.5948674228383621,0.5981552840331074,0.5906856203820396,0.5992008966329156,0.05976572964967386,0.001410132514832889,0.010775692612621561,0.001731907893518657
0.8513216972351074,0.027725744247436523,0.5943997647184284,0.5966674267156389,1,45,"{'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 45}",53,0.6033475015096478,0.5960360449935588,0.6068789402331606,0.595304739507348,0.576214573399151,0.5946401684112648,0.5948674228383621,0.5981552840331074,0.5906856203820396,0.5992008966329156,0.04917005139215815,0.0007466842589204041,0.010775692612621561,0.001731907893518657
0.852718448638916,0.02772550582885742,0.5943997647184284,0.5966674267156389,1,60,"{'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 60}",53,0.6033475015096478,0.5960360449935588,0.6068789402331606,0.595304739507348,0.576214573399151,0.5946401684112648,0.5948674228383621,0.5981552840331074,0.5906856203820396,0.5992008966329156,0.046501877787300826,0.0011627121762252072,0.010775692612621561,0.001731907893518657
0.849327278137207,0.026329851150512694,0.5943997647184284,0.5966674267156389,1,80,"{'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 80}",53,0.6033475015096478,0.5960360449935588,0.6068789402331606,0.595304739507348,0.576214573399151,0.5946401684112648,0.5948674228383621,0.5981552840331074,0.5906856203820396,0.5992008966329156,0.0485098675636179,0.0010168497738350288,0.010775692612621561,0.001731907893518657
0.8485351085662842,0.027121639251708983,0.5943997647184284,0.5966674267156389,1,100,"{'Boost__base_estimator__max_depth': 1, 'Boost__n_estimators': 100}",53,0.6033475015096478,0.5960360449935588,0.6068789402331606,0.595304739507348,0.576214573399151,0.5946401684112648,0.5948674228383621,0.5981552840331074,0.5906856203820396,0.5992008966329156,0.05157203214291958,0.00171329903182223,0.010775692612621561,0.001731907893518657
0.6564437866210937,0.022539567947387696,0.5943997647184284,0.5966674267156389,2,1,"{'Boost__base_estimator__max_depth': 2, 'Boost__n_estimators': 1}",53,0.6033475015096478,0.5960360449935588,0.6068789402331606,0.595304739507348,0.576214573399151,0.5946401684112648,0.5948674228383621,0.5981552840331074,0.5906856203820396,0.5992008966329156,0.009820786713386886,0.001353513292761991,0.010775692612621561,0.001731907893518657
0.7286509037017822,0.02433462142944336,0.5943997647184284,0.5966674267156389,2,2,"{'Boost__base_estimator__max_depth': 2, 'Boost__n_estimators': 2}",53,0.6033475015096478,0.5960360449935588,0.6068789402331606,0.595304739507348,0.576214573399151,0.5946401684112648,0.5948674228383621,0.5981552840331074,0.5906856203820396,0.5992008966329156,0.010221961014927795,0.0004895324016418441,0.010775692612621561,0.001731907893518657
