,0,1,2,3,4
10.0,0.8135,0.82025,0.815875,0.814375,0.819625
3.1622776601683795,0.8775,0.860375,0.86125,0.87475,0.8755
1.0,0.932625,0.926375,0.940125,0.92725,0.92475
0.31622776601683794,0.992125,0.990125,0.9765,0.987875,0.9835
0.1,0.985,0.99175,0.987125,0.995125,0.98825
0.03162277660168379,0.97875,0.998,0.99975,0.996,0.999875
0.01,0.993875,0.99975,0.925625,0.99825,0.947625
0.0031622776601683794,1.0,0.995375,0.85425,0.999875,0.9265
0.001,0.887875,0.8985,0.94975,0.9995,0.976375
0.00031622776601683794,1.0,1.0,1.0,1.0,1.0
0.0001,1.0,1.0,1.0,0.999625,0.9975
3.1622776601683795e-05,1.0,0.998375,1.0,1.0,1.0
1e-05,1.0,0.9945,1.0,1.0,1.0
