mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__C,param_SVM__class_weight,param_SVM__decision_function_shape,param_SVM__gamma,param_SVM__max_iter,param_SVM__tol,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
76.74529256820679,15.800331544876098,0.5,0.5,0.001,balanced,ovo,0.0020876826722338203,-1,1e-08,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.0020876826722338203, 'SVM__max_iter': -1, 'SVM__tol': 1e-08}",309,0.5,0.4999999999999999,0.5,0.5000000000000001,0.5,0.5,0.4999999999999999,0.5,0.4999999999999999,0.5,0.1818862297794911,0.5611734567722656,7.020569201363508e-17,7.021666937153402e-17
75.30534429550171,15.395015859603882,0.5,0.5,0.001,balanced,ovo,0.0020876826722338203,-1,0.020000010000000002,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.0020876826722338203, 'SVM__max_iter': -1, 'SVM__tol': 0.020000010000000002}",309,0.5,0.4999999999999999,0.5,0.5000000000000001,0.5,0.5,0.4999999999999999,0.5,0.4999999999999999,0.5,1.174727885429272,0.11458868471509676,7.020569201363508e-17,7.021666937153402e-17
74.51605625152588,15.465027856826783,0.5,0.5,0.001,balanced,ovo,0.0020876826722338203,-1,0.04000001,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.0020876826722338203, 'SVM__max_iter': -1, 'SVM__tol': 0.04000001}",309,0.5,0.4999999999999999,0.5,0.5000000000000001,0.5,0.5,0.4999999999999999,0.5,0.4999999999999999,0.5,0.9076940706628074,0.4019886402452112,7.020569201363508e-17,7.021666937153402e-17
72.27385473251343,14.903729724884034,0.5,0.5,0.001,balanced,ovo,0.0020876826722338203,-1,0.06000001,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.0020876826722338203, 'SVM__max_iter': -1, 'SVM__tol': 0.06000001}",309,0.5,0.4999999999999999,0.5,0.5000000000000001,0.5,0.5,0.4999999999999999,0.5,0.4999999999999999,0.5,0.29157732386411384,0.12589811663817196,7.020569201363508e-17,7.021666937153402e-17
69.96363410949706,14.528932857513428,0.5,0.5,0.001,balanced,ovo,0.0020876826722338203,-1,0.08000001,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.0020876826722338203, 'SVM__max_iter': -1, 'SVM__tol': 0.08000001}",309,0.5,0.4999999999999999,0.5,0.5000000000000001,0.5,0.5,0.4999999999999999,0.5,0.4999999999999999,0.5,0.650193537658816,0.15379630575086428,7.020569201363508e-17,7.021666937153402e-17
0.9416807651519775,0.16396102905273438,0.5,0.5,0.001,balanced,ovo,0.0020876826722338203,79,1e-08,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.0020876826722338203, 'SVM__max_iter': 79, 'SVM__tol': 1e-08}",309,0.4999999999999999,0.4999999999999999,0.5,0.5000000000000001,0.5,0.5000000000000001,0.4999999999999999,0.5,0.4999999999999999,0.5,0.060616967986570236,0.025330044315035483,8.599526510115252e-17,8.599750569898517e-17
0.9729820251464844,0.1841076374053955,0.5,0.5,0.001,balanced,ovo,0.0020876826722338203,79,0.020000010000000002,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.0020876826722338203, 'SVM__max_iter': 79, 'SVM__tol': 0.020000010000000002}",309,0.4999999999999999,0.4999999999999999,0.5,0.5000000000000001,0.5,0.5000000000000001,0.4999999999999999,0.5,0.4999999999999999,0.5,0.029513335663084225,0.05249333816556942,8.599526510115252e-17,8.599750569898517e-17
0.9460694313049316,0.1535884380340576,0.5,0.5,0.001,balanced,ovo,0.0020876826722338203,79,0.04000001,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.0020876826722338203, 'SVM__max_iter': 79, 'SVM__tol': 0.04000001}",309,0.4999999999999999,0.4999999999999999,0.5,0.5000000000000001,0.5,0.5000000000000001,0.4999999999999999,0.5,0.4999999999999999,0.5,0.0731160364665739,0.008762564615202448,8.599526510115252e-17,8.599750569898517e-17
0.9542470932006836,0.15159449577331544,0.5,0.5,0.001,balanced,ovo,0.0020876826722338203,79,0.06000001,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.0020876826722338203, 'SVM__max_iter': 79, 'SVM__tol': 0.06000001}",309,0.4999999999999999,0.4999999999999999,0.5,0.5000000000000001,0.5,0.5000000000000001,0.4999999999999999,0.5,0.4999999999999999,0.5,0.046550655362108416,0.01087082233421444,8.599526510115252e-17,8.599750569898517e-17
0.9556432723999023,0.16216588020324707,0.5,0.5,0.001,balanced,ovo,0.0020876826722338203,79,0.08000001,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.0020876826722338203, 'SVM__max_iter': 79, 'SVM__tol': 0.08000001}",309,0.4999999999999999,0.4999999999999999,0.5,0.5000000000000001,0.5,0.5000000000000001,0.4999999999999999,0.5,0.4999999999999999,0.5,0.09419687169211112,0.021487455390519626,8.599526510115252e-17,8.599750569898517e-17
