,train,test
0.1,0.07209319999965373,0.09619845999695827
0.2,0.15174106000049506,0.08245260000112467
0.3,0.1807524599978933,0.07107383999973535
0.4,0.23855470000125933,0.06286842000263278
0.5,0.30098670000152195,0.051966999997966924
0.6,0.3649131599988323,0.042352119999122806
0.7,0.4446407000010367,0.031592059999820774
0.8,0.48436519999813754,0.020709099998930468
0.9,0.5663324399967677,0.011673780001001433
