iterations,fitness,time,fevals
0,0.0285655694144,0.0019411000012,668
10,0.0336651175609,0.00399220000145,1246
20,0.0360673517338,0.00579190000281,1824
30,0.0408294679304,0.00767060000362,2411
40,0.0458038594444,0.00960580000356,2969
50,0.0459900875063,0.011324500003,3555
60,0.0551569909254,0.0130720000034,4135
70,0.053303929263,0.0147311000037,4705
80,0.0559071761769,0.0164041000044,5279
90,0.0593451177037,0.018026800004,5846
100,0.0622365493801,0.0196641000039,6434
110,0.0605135918053,0.0213238000033,7011
120,0.0657657156629,0.0229499000034,7580
130,0.0655728327833,0.0244955000016,8158
140,0.0693173142995,0.0260111000025,8734
150,0.0666397729775,0.0274964000018,9295
160,0.0656415650004,0.0290334000019,9875
170,0.0691730893336,0.0305674000028,10450
180,0.0658880691953,0.0320954000035,11011
190,0.0787913756597,0.0336471000028,11582
200,0.0732410327325,0.0350810000036,12174
210,0.0770715136301,0.0367022000046,12758
220,0.0837735427365,0.0381360000047,13350
230,0.0961608458276,0.0406202000049,13912
240,0.0856752871268,0.0422078000047,14476
250,0.0726413915471,0.0436616000061,15058
260,0.077716287538,0.0451389000064,15633
270,0.0766282462368,0.0482898000064,16221
280,0.0702720435055,0.0498837000068,16801
290,0.0716193436664,0.0513980000069,17368
300,0.0734772054624,0.0528409000071,17940
310,0.0734823146737,0.0542340000084,18509
320,0.0747258092997,0.0556187000075,19095
330,0.0704285359497,0.056975400008,19668
340,0.0728896986162,0.058392700008,20257
350,0.0681802670744,0.0597776000086,20836
360,0.0722480132231,0.061232700009,21400
370,0.0726883187848,0.0626102000097,21977
380,0.0636334476626,0.0640453000087,22569
390,0.0657886548275,0.0655164000091,23147
400,0.0688914416423,0.0669643000092,23725
410,0.0678858792076,0.0683819000096,24291
420,0.067798896028,0.0698594000096,24886
430,0.0650010641619,0.0712570000105,25465
440,0.0729639060883,0.0726289000104,26031
450,0.0673103345006,0.0741019000106,26621
460,0.074189843805,0.075561300011,27204
470,0.0743626614063,0.0769871000102,27787
480,0.0681236336183,0.0783655000105,28352
490,0.0735440607882,0.0798808000109,28936
500,0.0752603080334,0.081282600011,29521
510,0.0752891333955,0.0826721000121,30102
520,0.0806039494166,0.0839833000118,30672
530,0.0754394651913,0.085457000012,31234
540,0.0780428122164,0.0868590000118,31817
550,0.0731351029516,0.0882089000115,32395
560,0.0780774491664,0.0895475000107,32985
570,0.0728380860941,0.0908353000104,33560
580,0.0741590811586,0.0921768000117,34142
590,0.0774486085918,0.0934824000124,34717
600,0.0782869945002,0.0948265000134,35305
610,0.0771001346414,0.0962329000122,35893
620,0.0742791752531,0.0977147000121,36491
630,0.0735388324445,0.0991881000118,37065
640,0.0737266650328,0.100623700011,37634
650,0.0749285335871,0.102029400012,38215
660,0.0690219423888,0.103495200012,38800
670,0.0742651261016,0.10515550001,39368
680,0.0812286520094,0.106567700012,39949
690,0.0770642283615,0.108073700012,40533
700,0.0755568961451,0.109513400012,41116
710,0.0755673906047,0.111004500011,41700
720,0.0773821373385,0.112389800011,42278
730,0.0754717161874,0.113832800012,42856
