,0,1,2,3,4
320,0.1,0.1,0.1,0.1,0.1
336,0.09999999999999999,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998
352,0.1,0.1,0.1,0.1,0.1
368,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999
384,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999
400,0.1,0.1,0.1,0.1,0.1
416,0.1,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999
432,0.1,0.1,0.1,0.1,0.1
448,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999
464,0.1,0.1,0.1,0.1,0.1
480,0.1,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
496,0.09999999999999999,0.1,0.1,0.1,0.1
512,0.1,0.1,0.1,0.1,0.1
528,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999
544,0.1,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999
560,0.1,0.1,0.1,0.1,0.1
576,0.1,0.1,0.1,0.1,0.1
592,0.10000000000000002,0.1,0.1,0.1,0.1
608,0.1,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999
624,0.1,0.1,0.1,0.1,0.1
640,0.10000000000000002,0.1,0.1,0.1,0.1
943,0.1,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
1246,0.1,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999
1549,0.1,0.09999999999999999,0.1,0.1,0.1
1852,0.1,0.09999999999999999,0.1,0.1,0.1
2155,0.1,0.1,0.1,0.1,0.1
2458,0.09999999999999999,0.09999999999999999,0.1,0.1,0.1
2762,0.10000000000000002,0.09999999999999999,0.09999999999999998,0.09999999999999998,0.09999999999999998
3065,0.1,0.1,0.1,0.1,0.1
3368,0.1,0.1,0.1,0.09999999999999999,0.09999999999999999
3671,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999998,0.09999999999999998
3974,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999999,0.09999999999999999
4277,0.1,0.1,0.1,0.09999999999999999,0.09999999999999999
4581,0.1,0.1,0.1,0.1,0.1
4884,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.1
5187,0.1,0.1,0.09999999999999999,0.09999999999999999,0.1
5490,0.1,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.1
5793,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999
6096,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.1,0.09999999999999999
6400,0.1,0.1,0.1,0.1,0.1
