param_MLP__max_iter,test acc,train acc
1,0.791,0.801375
2,0.817,0.837
4,0.852,0.87025
8,0.843,0.9005
16,0.853,0.941875
32,0.8555,0.98025
64,0.8635,1.0
128,0.85,1.0
256,0.853,1.0
512,0.8535,1.0
1024,0.8465,1.0
2048,0.8455,1.0
2100,0.85,1.0
2200,0.8515,1.0
2300,0.858,0.999125
2400,0.852,1.0
2500,0.852,0.9985
2600,0.858,1.0
2700,0.853,1.0
2800,0.8485,1.0
2900,0.8615,1.0
3000,0.8505,0.99975
