,0,1,2,3,4
10.0,0.816375,0.809625,0.81275,0.80775,0.814125
3.1622776601683795,0.848125,0.870375,0.873,0.86475,0.8665
1.0,0.92,0.92375,0.921375,0.92375,0.9245
0.31622776601683794,0.979125,0.96825,0.97975,0.964,0.975125
0.1,0.975125,0.988625,0.98625,0.9915,0.994125
0.03162277660168379,0.998,0.9965,0.979,0.998625,0.996875
0.01,0.992,0.998625,0.93875,0.996625,0.9415
0.0031622776601683794,0.963875,0.998375,0.999,0.990875,0.994375
0.001,0.922,0.879875,0.98925,0.999625,0.994
0.00031622776601683794,0.985,1.0,1.0,1.0,1.0
0.0001,0.988875,1.0,1.0,0.999625,0.999375
3.1622776601683795e-05,0.99475,1.0,1.0,0.9715,1.0
1e-05,1.0,1.0,0.9935,1.0,0.993
3.162277660168379e-06,0.996625,0.9995,1.0,1.0,1.0
1e-06,1.0,0.996625,0.9975,0.99525,1.0
3.162277660168379e-07,1.0,1.0,1.0,0.995875,1.0
1e-07,0.9925,0.996875,0.99975,0.98875,0.9905
3.162277660168379e-08,1.0,1.0,1.0,1.0,1.0
1e-08,1.0,1.0,1.0,0.9945,0.99475
3.1622776601683795e-09,1.0,0.99575,1.0,1.0,0.998
1e-09,0.996,0.978875,1.0,1.0,1.0
