param_MLP__max_iter,test acc,train acc
1,0.8295,0.85225
2,0.857,0.893
4,0.845,0.90825
8,0.847,0.95775
16,0.865,0.989625
32,0.866,1.0
64,0.8685,1.0
128,0.8735,1.0
256,0.8765,1.0
512,0.869,0.988625
1024,0.8035,0.9205
2048,0.8415,0.999
2100,0.834,0.958875
2200,0.808,0.9045
2300,0.847,0.943375
2400,0.8275,0.948625
2500,0.842,0.96225
2600,0.8535,0.953
2700,0.862,0.94925
2800,0.838,0.965375
2900,0.8275,0.986
3000,0.825,0.935375
