mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_MLP__max_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
3.543070077896118,0.08569278717041015,0.81875,0.8462812499999999,1,{'MLP__max_iter': 1},21,0.816875,0.8434375,0.84875,0.855,0.79875,0.846875,0.8075,0.83546875,0.821875,0.850625,0.2975506243666477,0.008868696096988139,0.016969642011545216,0.006636781976229144
5.935242605209351,0.07378549575805664,0.83675,0.88275,2,{'MLP__max_iter': 2},11,0.85,0.8846875,0.848125,0.878125,0.83375,0.88953125,0.819375,0.8740625,0.8325,0.88734375,0.13806793898951703,0.001913843947073437,0.011259718024888553,0.005791460577868071
10.807037258148194,0.07007670402526855,0.845875,0.91934375,4,{'MLP__max_iter': 4},7,0.834375,0.91328125,0.8575,0.92453125,0.82625,0.9196875,0.849375,0.91375,0.861875,0.92546875,0.07034633522833307,0.0025746354678074968,0.013570418195472079,0.005149522125887016
20.365576791763306,0.06988129615783692,0.84875,0.9646250000000001,8,{'MLP__max_iter': 8},6,0.851875,0.96609375,0.856875,0.96015625,0.8275,0.97203125,0.8475,0.9596875,0.86,0.96515625,0.07096106139691293,0.002191094633885825,0.011449617897554488,0.004508672199217848
39.45552387237549,0.07007699012756348,0.854125,0.99584375,16,{'MLP__max_iter': 16},5,0.8575,0.9971875,0.859375,0.996875,0.8375,0.99390625,0.8525,0.99625,0.86375,0.995,0.33920300260129044,0.0012948161733080119,0.009062284480195927,0.001224744871391584
66.77040572166443,0.07417593002319336,0.854625,0.99784375,32,{'MLP__max_iter': 32},4,0.85625,0.99984375,0.86125,1.0,0.840625,0.998125,0.861875,1.0,0.853125,0.99125,11.858365738944366,0.00501492197475091,0.0077115984075935866,0.003372105240054071
144.9238835811615,0.07105321884155273,0.856625,0.9957499999999999,64,{'MLP__max_iter': 64},2,0.856875,1.0,0.865,1.0,0.8425,1.0,0.84625,0.97875,0.8725,1.0,19.31760472979206,0.0027186253473005196,0.011219402836158455,0.008499999999999995
305.95252470970155,0.07105278968811035,0.8575,1.0,128,{'MLP__max_iter': 128},1,0.853125,1.0,0.86125,1.0,0.84625,1.0,0.861875,1.0,0.865,1.0,0.2678797809800747,0.0018929659914049186,0.006857933362172603,0.0
391.5907403945923,0.07202911376953125,0.856,0.999375,256,{'MLP__max_iter': 256},3,0.85,1.0,0.863125,1.0,0.833125,0.9975,0.86,1.0,0.87375,0.999375,268.47875361747407,0.0009557225405238107,0.013719283873438884,0.0009682458365518335
930.1737020015717,0.07124786376953125,0.829125,0.9460000000000001,512,{'MLP__max_iter': 512},18,0.830625,0.94015625,0.8225,0.93640625,0.825,0.96734375,0.836875,0.96765625,0.830625,0.9184375,18.741466189596018,0.0016326198523632718,0.005009366227378479,0.019028555843783816
765.2623426914215,0.07027139663696289,0.82975,0.9519375,1024,{'MLP__max_iter': 1024},16,0.830625,0.94609375,0.811875,0.916875,0.808125,0.94171875,0.8625,0.9996875,0.835625,0.9553125,350.4890071367935,0.004493780232759586,0.019467922333931797,0.027053296645233444
763.664633512497,0.07066159248352051,0.8265,0.9387187499999999,2048,{'MLP__max_iter': 2048},20,0.81875,0.948125,0.795625,0.8653125,0.825,0.96046875,0.82375,0.9196875,0.869375,1.0,344.96750831112894,0.0011716132089672109,0.023922400590241776,0.04487225792457963
750.0316897392273,0.07027187347412109,0.833625,0.9545625,2100,{'MLP__max_iter': 2100},14,0.829375,0.9359375,0.84625,0.96421875,0.80625,0.9190625,0.851875,0.9934375,0.834375,0.96015625,335.46179151185476,0.0008729311953347563,0.015877460439251607,0.025467388767303957
743.3980224132538,0.07163844108581544,0.813375,0.9106875000000001,2200,{'MLP__max_iter': 2200},22,0.775,0.85640625,0.77125,0.81578125,0.8175,0.96234375,0.829375,0.91890625,0.87375,1.0,329.20534446124674,0.001702038596607672,0.0378558119712152,0.06732947209432136
761.1092730522156,0.07124872207641601,0.84125,0.959375,2300,{'MLP__max_iter': 2300},9,0.84125,0.9484375,0.83625,0.94640625,0.826875,0.96171875,0.835,0.9403125,0.866875,1.0,343.6828063621731,0.001746315083495784,0.013618691199964825,0.021480596258600455
752.3311423778534,0.07280931472778321,0.835625,0.95703125,2400,{'MLP__max_iter': 2400},12,0.8375,0.96546875,0.83125,0.9240625,0.833125,0.9953125,0.836875,0.95140625,0.839375,0.94890625,346.57978479741035,0.0035250012313802507,0.0029843340965783178,0.023329124434384604
589.2937007427215,0.07046670913696289,0.8415,0.95696875,2500,{'MLP__max_iter': 2500},8,0.8125,0.890625,0.844375,0.95015625,0.839375,0.99984375,0.83625,0.94484375,0.875,0.999375,425.9396582941734,0.003874829380808709,0.020017960685344546,0.04057456003304288
596.2711146354675,0.06988086700439453,0.838875,0.96125,2600,{'MLP__max_iter': 2600},10,0.82625,0.950625,0.84,0.9471875,0.8,0.91078125,0.8625,0.9990625,0.865625,0.99859375,433.79568231014724,0.0011713983084201763,0.024271897330039927,0.03371077002420738
597.482719039917,0.06870989799499512,0.83275,0.9638125000000001,2700,{'MLP__max_iter': 2700},15,0.85375,0.99703125,0.83625,0.94875,0.82375,0.97609375,0.79125,0.8975,0.85875,0.9996875,437.4506659377037,0.00266198373013248,0.024217762076624672,0.03785645688815847
