mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
177.70072894096376,0.08587651252746582,0.852125,0.9944375000000001,relu,1e-08,"(784, 784)","{'MLP__activation': 'relu', 'MLP__alpha': 1e-08, 'MLP__hidden_layer_sizes': (784, 784)}",62,0.8475,0.9875,0.861875,1.0,0.84375,0.995625,0.855,0.99234375,0.8525,0.99671875,216.8553085913325,0.007084217039719838,0.006244997998398376,0.004244251627201182
224.89701347351075,0.052938652038574216,0.855,0.99740625,relu,1e-08,"(392, 392)","{'MLP__activation': 'relu', 'MLP__alpha': 1e-08, 'MLP__hidden_layer_sizes': (392, 392)}",41,0.855,1.0,0.865,1.0,0.841875,0.9909375,0.855625,1.0,0.8575,0.99609375,161.23169988521468,0.003570671321685944,0.007468684623144813,0.0035707142142714157
179.1655622959137,0.16040339469909667,0.845125,0.9839062500000001,relu,1e-08,"(1568, 1568)","{'MLP__activation': 'relu', 'MLP__alpha': 1e-08, 'MLP__hidden_layer_sizes': (1568, 1568)}",205,0.8575,0.99703125,0.85,0.98484375,0.8425,0.99046875,0.839375,0.98140625,0.83625,0.96578125,34.045183559437085,0.01368355450286109,0.007689278249614848,0.010497395510315876
113.21391739845276,0.11076483726501465,0.8475,0.9831875,relu,1e-08,"(784, 784, 784)","{'MLP__activation': 'relu', 'MLP__alpha': 1e-08, 'MLP__hidden_layer_sizes': (784, 784, 784)}",164,0.843125,0.9859375,0.860625,0.98078125,0.8375,0.98328125,0.831875,0.9784375,0.864375,0.9875,13.040066379559544,0.013725001434249168,0.012808688457449481,0.0033021654826795293
58.55446696281433,0.07297935485839843,0.848375,0.9874374999999999,relu,1e-08,"(392, 392, 392)","{'MLP__activation': 'relu', 'MLP__alpha': 1e-08, 'MLP__hidden_layer_sizes': (392, 392, 392)}",140,0.841875,0.98484375,0.87,0.98453125,0.824375,0.986875,0.8475,0.9875,0.858125,0.9934375,7.65914805570051,0.00910473090211045,0.015373475534178999,0.0032091787306100556
292.9547611713409,0.2487330913543701,0.82775,0.9695625,relu,1e-08,"(1568, 1568, 1568)","{'MLP__activation': 'relu', 'MLP__alpha': 1e-08, 'MLP__hidden_layer_sizes': (1568, 1568, 1568)}",329,0.8225,0.95140625,0.85,0.981875,0.81125,0.970625,0.81125,0.961875,0.84375,0.98203125,29.12066656879594,0.035255391291897246,0.01626729848499742,0.011806297975021645
233.32709736824035,0.04958953857421875,0.855125,0.9999375,relu,3.1622776601683795e-09,"(784,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795e-09, 'MLP__hidden_layer_sizes': (784,)}",39,0.846875,0.9996875,0.859375,1.0,0.8425,1.0,0.86,1.0,0.866875,1.0,87.25539784684487,0.0031771192621651207,0.009026004099267819,0.00012500000000001955
144.08327474594117,0.040430879592895506,0.857125,1.0,relu,3.1622776601683795e-09,"(392,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795e-09, 'MLP__hidden_layer_sizes': (392,)}",14,0.854375,1.0,0.855,1.0,0.84,1.0,0.858125,1.0,0.878125,1.0,28.248927424824934,0.003374355157836129,0.012225741286318823,0.0
200.25816473960876,0.0731703758239746,0.85825,0.99884375,relu,3.1622776601683795e-09,"(1568,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795e-09, 'MLP__hidden_layer_sizes': (1568,)}",8,0.854375,0.99640625,0.861875,1.0,0.84625,0.99984375,0.859375,0.99796875,0.869375,1.0,185.16729158476969,0.004066426105183403,0.0077095719725546515,0.0014408927354248057
174.51529393196105,0.10977363586425781,0.8535,0.9920312499999999,relu,3.1622776601683795e-09,"(784, 784)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795e-09, 'MLP__hidden_layer_sizes': (784, 784)}",56,0.848125,0.995,0.8575,0.99390625,0.83375,0.983125,0.853125,0.988125,0.875,1.0,199.65281375004395,0.023403257348060768,0.013396594716568839,0.005837981778834176
302.2037889957428,0.05547356605529785,0.85825,0.9993124999999999,relu,3.1622776601683795e-09,"(392, 392)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795e-09, 'MLP__hidden_layer_sizes': (392, 392)}",8,0.851875,1.0,0.861875,0.9965625,0.841875,1.0,0.8625,1.0,0.873125,1.0,139.08943441519762,0.006015253754778819,0.010594810050208538,0.0013749999999999928
