param_MLP__max_iter,test acc,train acc
1,0.7825,0.791125
2,0.813,0.8375
4,0.812,0.86025
8,0.847,0.89275
16,0.8325,0.888
32,0.8505,0.88925
64,0.8465,0.907375
128,0.842,0.887625
256,0.842,0.888
512,0.853,0.889375
1024,0.841,0.90875
2000,0.853,0.89375
2200,0.8475,0.893
2400,0.849,0.8755
2600,0.8295,0.879
2800,0.8405,0.919125
3000,0.828,0.91
