,0,1,2,3,4
511,0.5,0.5,0.5,0.5,0.5
537,0.5,0.5,0.5,0.5,0.5
562,0.5000000000000001,0.5,0.5,0.5,0.5
588,0.5,0.5,0.5,0.5,0.5
614,0.5,0.5,0.5,0.5,0.5
639,0.5000000000000001,0.5,0.5,0.5,0.5
665,0.5,0.5,0.5,0.5,0.5
690,0.5000000000000001,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994
716,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
741,0.5,0.5,0.5,0.5,0.5
767,0.49999999999999994,0.5,0.5,0.5,0.5
793,0.5,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
818,0.5000000000000001,0.5,0.5,0.5,0.5
844,0.5,0.4999999999999998,0.4999999999999998,0.4999999999999998,0.4999999999999998
869,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
895,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994
921,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999
946,0.4999999999999999,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994
972,0.5,0.5,0.5,0.5,0.5
997,0.4999999999999999,0.5,0.5,0.5,0.5
1023,0.5,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999
1508,0.5,0.5,0.5,0.5,0.5
1992,0.5000000000000001,0.5,0.5,0.5,0.5
2477,0.5,0.5,0.5,0.5,0.5
2962,0.5000000000000001,0.49999999999999983,0.5,0.5,0.5
3447,0.5000000000000001,0.5,0.49999999999999994,0.49999999999999994,0.49999999999999994
3932,0.49999999999999983,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.5000000000000001
4416,0.5000000000000001,0.5,0.5,0.5,0.5
4901,0.5,0.5,0.5,0.5,0.5
5386,0.4999999999999999,0.5,0.5,0.4999999999999999,0.4999999999999999
5871,0.5000000000000001,0.5,0.5,0.5,0.5
6355,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001
6840,0.5,0.49999999999999994,0.5,0.5000000000000001,0.5000000000000001
7325,0.5,0.5,0.5,0.5,0.5
7810,0.49999999999999994,0.4999999999999999,0.4999999999999999,0.49999999999999994,0.5
8294,0.4999999999999999,0.5000000000000001,0.5,0.5,0.5
8779,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.4999999999999999
9264,0.4999999999999998,0.4999999999999998,0.4999999999999998,0.4999999999999998,0.4999999999999999
9749,0.5000000000000001,0.4999999999999999,0.4999999999999997,0.4999999999999999,0.5
10234,0.4999999999999999,0.49999999999999983,0.4999999999999999,0.5000000000000001,0.5
