mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_DT__class_weight,param_DT__criterion,param_DT__max_depth,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.8829141139984131,0.02493319511413574,0.5900185315222906,0.5933230754458692,balanced,gini,1,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 1}",1,0.6051748076625346,0.590860359153042,0.5771656002983033,0.5978643502399851,0.5841870247952251,0.5918611564088904,0.5781785158277115,0.5952184014853753,0.6053821632441249,0.590811109942053,0.363231169486286,0.003567680030891695,0.012689758404869942,0.00278307696816679
0.8673119068145752,0.02373952865600586,0.5900185315222906,0.5933230754458692,balanced,gini,2,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 2}",1,0.6051748076625346,0.590860359153042,0.5771656002983033,0.5978643502399851,0.5841870247952251,0.5918611564088904,0.5781785158277115,0.5952184014853753,0.6053821632441249,0.590811109942053,0.33881660043926753,0.0015681465994790945,0.012689758404869942,0.00278307696816679
0.7239829540252686,0.022938346862792967,0.5890732418645535,0.5932336945802499,balanced,gini,3,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 3}",4,0.6051748076625346,0.590860359153042,0.5771656002983033,0.5978643502399851,0.5841870247952251,0.5918611564088904,0.5781785158277115,0.5952184014853753,0.600654236785529,0.5903642056139564,0.018363021367048742,0.0017841133482402402,0.011643001824140206,0.0028681904521090954
0.758922529220581,0.0232391357421875,0.5884464072099022,0.5954182530913699,balanced,gini,4,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 4}",9,0.6038196712514318,0.5935214225192589,0.5782583089068716,0.5998167533428064,0.5841870247952251,0.5918611564088904,0.5782594459683198,0.5960892919708967,0.5977012133343218,0.5958026412149964,0.022694266854778624,0.0013981063075054886,0.010466744397315927,0.0026905670367827774
0.8749622344970703,0.025949668884277344,0.5893195760035131,0.5970542252401903,balanced,gini,5,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 5}",3,0.6036269174378361,0.5944786920396676,0.5788858446699279,0.6016701354873749,0.5828507718103403,0.5942052248335301,0.5782594459683198,0.5973373484116377,0.602970321496528,0.5975797254287405,0.1920017561437095,0.006184874026785281,0.011524658766220358,0.0026986334012824
0.9968017101287842,0.024953556060791016,0.5886946017577969,0.5996958846894984,balanced,gini,6,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 6}",7,0.6037885222351548,0.5960436102056873,0.577741587378413,0.6023637838601704,0.5811601602145412,0.5947265512698182,0.5811537796229025,0.6047350561084276,0.5996243853016038,0.6006104220033884,0.2826161389276399,0.006088564112161452,0.010779169412418424,0.0037783778692388748
0.91281156539917,0.02252163887023926,0.5886247584182167,0.6023624232792265,balanced,gini,7,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 7}",8,0.6035772640554539,0.5992996234685848,0.5742868995967473,0.6039742829528127,0.5811601602145412,0.5947265512698182,0.5798972001878073,0.6063072078919994,0.6041991005016433,0.6075044508129179,0.008870163534387738,0.0015320574764729968,0.012677759069014036,0.004738927060630418
1.3695087432861328,0.023345518112182616,0.5882535539678881,0.6065353691862864,balanced,gini,8,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 8}",10,0.6025638416050934,0.603741213546485,0.5743964791323523,0.6167848589468445,0.5811601602145412,0.5947265512698182,0.5802518101168853,0.6067502346508158,0.602892480292584,0.6106739875174678,0.45134960150114434,0.0027888029913371148,0.012045522986265612,0.00734141478918823
1.112142515182495,0.021343326568603514,0.5867194708684377,0.609975976353698,balanced,gini,9,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 9}",20,0.5971929493430641,0.6061842366917111,0.5765226307978378,0.6241754074079563,0.5815145188254555,0.5953747989577407,0.5770411693478635,0.6088514142073906,0.6013239182543801,0.6152940245036914,0.04525663543744305,0.0010171772032350557,0.010466001586117147,0.009578536312231527
1.2881546497344971,0.022340822219848632,0.5854442638698308,0.6176143129866942,balanced,gini,10,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 10}",23,0.594980135562986,0.6085942971269486,0.5763602678802935,0.6246185126897711,0.5862384771716502,0.6258040243259685,0.5766865594187857,0.6100488886249826,0.5929516643190748,0.6190058421657997,0.08970059143679095,0.0011964881398940745,0.007837711390843828,0.00716467543773427
1.354567575454712,0.021756744384765624,0.5819175990520097,0.6270937901096059,balanced,gini,11,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 11}",26,0.5866488531302294,0.6304583005507475,0.5729197791370443,0.6372945652775407,0.5856251404470104,0.6331223330233043,0.5749443991400399,0.6108412438640359,0.5894481923542639,0.6237525078324005,0.07751058623732333,0.0011539685191944986,0.006669508400720625,0.009241520447609976
1.5368861198425292,0.022153425216674804,0.5811358405507541,0.6303008514770256,balanced,gini,12,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 12}",27,0.5855361239151045,0.6367555290893214,0.576619245994019,0.6398159336993327,0.5790185748116466,0.6377694876989033,0.5765246991375688,0.6109703611336531,0.587979711863988,0.6261929457639176,0.10128961132737595,0.0007478297733250497,0.004739955013359291,0.010756606584361844
