param_MLP__max_iter,test acc,train acc
1,0.815,0.85125
2,0.8315,0.885625
4,0.8315,0.906875
8,0.836,0.88075
16,0.862,0.939125
32,0.8525,0.946875
64,0.843,0.887875
128,0.847,0.954375
256,0.8425,0.958125
512,0.8435,0.91875
1024,0.842,0.950625
2000,0.8435,0.936
2200,0.841,0.917
2400,0.8525,0.957875
2600,0.8525,0.933125
2800,0.853,0.929875
3000,0.859,0.93225
