param_SVM__max_iter,test acc,train acc
1,0.5152853824456612,0.5160936283727113
2,0.5181654775731431,0.5232077539276179
4,0.5055970355621923,0.5027201787407376
8,0.5309288756152868,0.5466263557581902
16,0.497003760853935,0.5055400579774313
