mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.8818408489227295,2.9365446090698244,0.81925,1.0,manhattan,22,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 22, 'KNN__weights': 'distance'}",12,0.815,1.0,0.821875,1.0,0.810625,1.0,0.820625,1.0,0.828125,1.0,0.016620993540992165,0.05885315796366589,0.006,0.0
0.8936092853546143,2.883885145187378,0.813625,0.8239062500000001,manhattan,25,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 25, 'KNN__weights': 'uniform'}",23,0.806875,0.82578125,0.821875,0.8240625,0.805,0.8253125,0.815,0.8234375,0.819375,0.8209375,0.011834384000812624,0.06168557908888554,0.006677855194596523,0.0017059180079945309
0.8936087608337402,2.8910664081573487,0.815125,1.0,manhattan,25,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 25, 'KNN__weights': 'distance'}",21,0.80875,1.0,0.818125,1.0,0.808125,1.0,0.815625,1.0,0.825,1.0,0.0147118772701554,0.02901785092441853,0.006267475568360833,0.0
0.8778507709503174,2.8533676147460936,0.812375,0.82175,manhattan,28,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 28, 'KNN__weights': 'uniform'}",27,0.805625,0.824375,0.82,0.8203125,0.804375,0.8225,0.8125,0.8221875,0.819375,0.819375,0.011517514129871334,0.062069782220752504,0.0065835970411318315,0.0017522307211095224
0.8856359481811523,2.8675235748291015,0.8145,1.0,manhattan,28,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 28, 'KNN__weights': 'distance'}",22,0.80625,1.0,0.823125,1.0,0.804375,1.0,0.814375,1.0,0.824375,1.0,0.009351773609607485,0.06712431727929394,0.008276472678623425,0.0
0.8816414833068847,2.8318246841430663,0.810375,0.8193750000000002,manhattan,31,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 31, 'KNN__weights': 'uniform'}",31,0.803125,0.82203125,0.81875,0.81796875,0.80125,0.81953125,0.81125,0.8203125,0.8175,0.81703125,0.013140156834740742,0.06624494205835252,0.007176350047203658,0.0017566836653193977
0.8930105686187744,2.8830875873565676,0.81325,1.0,manhattan,31,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 31, 'KNN__weights': 'distance'}",24,0.805625,1.0,0.82,1.0,0.80625,1.0,0.8125,1.0,0.821875,1.0,0.009088371763802323,0.1043550517205507,0.006747684788132873,0.0
0.8834365844726563,2.892861557006836,0.807875,0.8158749999999999,manhattan,34,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 34, 'KNN__weights': 'uniform'}",33,0.79625,0.816875,0.814375,0.81453125,0.796875,0.81703125,0.8125,0.81765625,0.819375,0.81328125,0.008495449923451956,0.09820487221301297,0.00950822012786829,0.0016758859597239921
0.914753007888794,2.8842838764190675,0.811875,1.0,manhattan,34,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 34, 'KNN__weights': 'distance'}",28,0.800625,1.0,0.82125,1.0,0.803125,1.0,0.814375,1.0,0.82,1.0,0.051194993306775106,0.04107742565658499,0.008523863560616152,0.0
0.8818410396575928,2.866731548309326,0.804,0.81275,manhattan,37,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 37, 'KNN__weights': 'uniform'}",41,0.79625,0.81484375,0.81125,0.81359375,0.795,0.81140625,0.80375,0.81515625,0.81375,0.80875,0.007786769526156,0.09808145517843905,0.007599342076785318,0.0023954709870921127
0.8828381061553955,2.884484052658081,0.8075,1.0,manhattan,37,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 37, 'KNN__weights': 'distance'}",36,0.799375,1.0,0.813125,1.0,0.7975,1.0,0.8075,1.0,0.82,1.0,0.007760880925901584,0.06729022985807445,0.008413159335231917,0.0
0.882439374923706,2.8810927867889404,0.80325,0.8114374999999999,manhattan,40,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 40, 'KNN__weights': 'uniform'}",43,0.79375,0.81484375,0.813125,0.81109375,0.793125,0.81265625,0.805,0.81109375,0.81125,0.8075,0.013925568179183102,0.08019273086008641,0.008453919209455481,0.0024011715890373134
0.8993930816650391,2.9004419326782225,0.80775,1.0,manhattan,40,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 40, 'KNN__weights': 'distance'}",34,0.79875,1.0,0.81625,1.0,0.7975,1.0,0.806875,1.0,0.819375,1.0,0.022517175711984073,0.06415686914796329,0.008879400317589027,0.0
0.8788483142852783,2.8779019355773925,0.799875,0.80815625,manhattan,43,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 43, 'KNN__weights': 'uniform'}",51,0.79125,0.81046875,0.81125,0.8065625,0.789375,0.8084375,0.79875,0.81015625,0.80875,0.80515625,0.0071749771537307815,0.07774255827377075,0.008877640452282341,0.0020477693656757315
0.8900239944458008,2.8768986225128175,0.803875,1.0,manhattan,43,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 43, 'KNN__weights': 'distance'}",42,0.7925,1.0,0.814375,1.0,0.795,1.0,0.803125,1.0,0.814375,1.0,0.006780159362575033,0.05163146598893796,0.009265190230103191,0.0
