,0,1,2,3,4
639,0.5805302925684074,0.6009295691520755,0.6009295691520755,0.6009295691520755,0.6009295691520755
739,0.5830162241887906,0.6157599882058088,0.6157599882058088,0.6157599882058088,0.6157599882058088
855,0.5744003308519436,0.6133967813357126,0.6133967813357126,0.6133967813357126,0.6133967813357126
989,0.5629192004086946,0.6113811058765187,0.6113811058765187,0.6113811058765187,0.6113811058765187
1143,0.572406553293295,0.6127984555984556,0.6127984555984556,0.6127984555984556,0.6127984555984556
1322,0.5768139548316294,0.6117682363804247,0.6117682363804247,0.6117682363804247,0.6117682363804247
1529,0.5822131085288981,0.611148152742459,0.611148152742459,0.611148152742459,0.611148152742459
1768,0.5766681699007737,0.6096367389780354,0.6096367389780354,0.6096367389780354,0.6096367389780354
2044,0.5732737848625585,0.6111801626138746,0.6111801626138746,0.6111801626138746,0.6111801626138746
2364,0.5827331967168679,0.6101349772200693,0.6101349772200693,0.6101349772200693,0.6101349772200693
2734,0.5864746171745822,0.6091214334745049,0.602378217856046,0.602378217856046,0.602378217856046
3161,0.5884704519119351,0.6060607161600259,0.6012074851383957,0.6012074851383957,0.6012074851383957
3656,0.5861144618683821,0.6046029562728661,0.5943907644577231,0.5943907644577231,0.5943907644577231
4227,0.5866008582139297,0.5976122015167167,0.5932130296356933,0.5932130296356933,0.5932130296356933
4888,0.5850914009454358,0.5902510160115624,0.5919402904296233,0.5919402904296233,0.5919402904296233
5653,0.5889924553451673,0.6007009662417261,0.5929792213488219,0.5920171041289053,0.5920171041289053
6536,0.5906160576165732,0.59896410718709,0.592347143883928,0.5902123547396216,0.5902123547396216
7558,0.5880035101690415,0.5951639650889103,0.5855716821196336,0.5889790193553549,0.5889790193553549
8740,0.5880965090774555,0.5996116078254295,0.5889442073840547,0.5931329172845538,0.5922980026295865
10107,0.5906824047786579,0.5977566294273349,0.5915212851130998,0.5949403657126392,0.5907441278740412
