mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.9908191204071045,2.6987261295318605,0.5270197484862416,1.0,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",44,0.5428554950873992,1.0,0.5179698091402297,1.0,0.5267617919927301,1.0,0.5292015716509748,1.0,0.5183013319494897,1.0,0.09552290641640966,0.1501450786288683,0.009095149380504486,0.0
0.8928637027740478,2.387453556060791,0.5270197484862416,1.0,manhattan,1,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",44,0.5428554950873992,1.0,0.5179698091402297,1.0,0.5267617919927301,1.0,0.5292015716509748,1.0,0.5183013319494897,1.0,0.02189207637637898,0.06355555737042962,0.009095149380504486,0.0
0.8675731658935547,3.3367584228515623,0.5214855421856441,0.6898076579890737,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",68,0.520734142220857,0.6826844722940317,0.5111104388861039,0.6908807833198385,0.5300602903518151,0.6957697019484591,0.5229297946474905,0.6863466039958873,0.522594336125732,0.6933567283871522,0.017902691173766243,0.055977839232686476,0.006083787544133862,0.00473312023995783
0.884541130065918,3.0218937397003174,0.5270184037034038,1.0,manhattan,4,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",46,0.5339536613663994,1.0,0.5180741412051155,1.0,0.5332587780924889,1.0,0.5267545160254032,1.0,0.5230465564534065,1.0,0.08560525306475023,0.16311502241864798,0.006048338771383405,0.0
0.8184103488922119,3.3147327423095705,0.5310081359862987,0.6784601176942242,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",30,0.5423589612635767,0.6762254022531363,0.5227181527915309,0.6812821369510019,0.5354673459157392,0.6832471202690961,0.5234864210344231,0.6740223577172252,0.5310024217263448,0.6775235712806615,0.015264351089905042,0.03948996872942568,0.0074037220041593245,0.003359880124001514
0.8481072425842285,3.6338793277740478,0.531694750955107,1.0,manhattan,7,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",27,0.5447460244911454,1.0,0.5144648073746101,1.0,0.5420223628681564,1.0,0.5302932018681888,1.0,0.52693985222527,1.0,0.05002008062726579,0.23583885381462472,0.010941146251111507,0.0
0.9012920379638671,4.30197811126709,0.5276253263149129,0.6363568563209119,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",40,0.5274533859597506,0.6357301726597556,0.5218649757875528,0.6377831291286549,0.5368511348118442,0.6330999124555938,0.5283638520275781,0.6380969677060984,0.523592062668347,0.6370740996544565,0.029271798637319022,0.08658736123240747,0.005198911111569204,0.0018208292345780251
0.8756145000457763,4.173094034194946,0.5310243679387401,1.0,manhattan,10,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'distance'}",29,0.5414078368457703,1.0,0.5206512666776966,1.0,0.5371798734186592,1.0,0.5253904415943855,1.0,0.53048595151605,1.0,0.02679661282142404,0.06498986165132481,0.007555009496251248,0.0
0.8866318225860595,4.224453592300415,0.5366493233689187,0.6356769488168423,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",25,0.5386294062750773,0.6374677397739946,0.5226304891630469,0.6392299117694705,0.5513915674997591,0.6306703487336006,0.5396174660834754,0.6345514225296961,0.5309758568710307,0.6364653212774496,0.02193671574721165,0.2584631512095358,0.009579161393133789,0.0029252303481327405
0.8875344276428223,4.29974946975708,0.5382868940471741,1.0,manhattan,13,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'distance'}",24,0.5438386937397879,1.0,0.5200391646520495,1.0,0.5561232427146586,1.0,0.5434946993846838,1.0,0.5279344898312205,1.0,0.031013705282244404,0.1947397162308216,0.012776966085882515,0.0
0.8293861389160156,3.8973691940307615,0.5343329157042643,0.6138216020839299,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",26,0.5324017618623781,0.6116900900044094,0.5285977893949234,0.6173029438552711,0.5503386779337065,0.6087866011908909,0.532071811599575,0.6156490246524281,0.5282520325203252,0.61567935071665,0.007636338902522909,0.06137247571139196,0.008184208819016707,0.00312426060030722
0.846135950088501,3.8971749782562255,0.5420631637131038,1.0,manhattan,16,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'distance'}",22,0.5441560436184918,1.0,0.5324636319411691,1.0,0.5614978874300234,1.0,0.5436491462179059,1.0,0.5285436281414486,1.0,0.017037665503185844,0.08678411359064772,0.011484891579289254,0.0
