mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_Boost__base_estimator__max_depth,param_Boost__n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
8.103322172164917,0.08277888298034668,0.661,0.66915625,2,45,"{'Boost__base_estimator__max_depth': 2, 'Boost__n_estimators': 45}",380,0.68875,0.681875,0.633125,0.6421875,0.661875,0.66328125,0.694375,0.70875,0.626875,0.6496875,0.9751828666312022,0.009313182410818369,0.027663152387246093,0.023959519898153214
8.8888267993927,0.08876256942749024,0.6715,0.6820937500000002,2,60,"{'Boost__base_estimator__max_depth': 2, 'Boost__n_estimators': 60}",378,0.68875,0.681875,0.68,0.7053125,0.661875,0.66328125,0.69625,0.7059375,0.630625,0.6540625,1.7261056871275287,0.016544246459187437,0.023434083084259996,0.02120067805519436
9.34639744758606,0.10112919807434081,0.679,0.6874375,2,80,"{'Boost__base_estimator__max_depth': 2, 'Boost__n_estimators': 80}",375,0.68875,0.681875,0.7175,0.73203125,0.661875,0.66328125,0.69625,0.7059375,0.630625,0.6540625,2.3704911606950474,0.02201003480548001,0.030027591478505245,0.0284928376416776
9.467872190475465,0.10511898994445801,0.679,0.6874375,2,100,"{'Boost__base_estimator__max_depth': 2, 'Boost__n_estimators': 100}",375,0.68875,0.681875,0.7175,0.73203125,0.661875,0.66328125,0.69625,0.7059375,0.630625,0.6540625,2.4182149165544224,0.027498654284821403,0.030027591478505245,0.0284928376416776
0.9763877868652344,0.02094411849975586,0.4945,0.49946875,3,1,"{'Boost__base_estimator__max_depth': 3, 'Boost__n_estimators': 1}",386,0.49875,0.49953125,0.479375,0.499375,0.49875,0.5025,0.491875,0.50125,0.50375,0.4946875,0.016265442772696665,0.0015448642855705043,0.008453919209455471,0.0026545950726993956
1.2301088333129884,0.022141075134277342,0.393875,0.39790625,3,2,"{'Boost__base_estimator__max_depth': 3, 'Boost__n_estimators': 2}",392,0.44125,0.44109375,0.37,0.379375,0.445,0.44109375,0.36625,0.36453125,0.346875,0.3634375,0.018374617826796072,0.00039906517438581215,0.04098856547867953,0.03570913857999098
2.0074294567108155,0.02732696533203125,0.63875,0.65128125,3,5,"{'Boost__base_estimator__max_depth': 3, 'Boost__n_estimators': 5}",382,0.666875,0.65515625,0.60125,0.62859375,0.65125,0.67171875,0.6575,0.65296875,0.616875,0.64796875,0.008749313550833717,0.0011966546951847504,0.025233286547732953,0.013865424623862073
3.304957962036133,0.03410892486572266,0.67575,0.68896875,3,10,"{'Boost__base_estimator__max_depth': 3, 'Boost__n_estimators': 10}",377,0.72,0.71640625,0.66375,0.6990625,0.66625,0.67390625,0.665625,0.68125,0.663125,0.67421875,0.009385452256718269,0.0003986122327398218,0.02215499379372515,0.016484663800787693
5.860123062133789,0.05106782913208008,0.70475,0.7222500000000001,3,20,"{'Boost__base_estimator__max_depth': 3, 'Boost__n_estimators': 20}",372,0.734375,0.749375,0.710625,0.72859375,0.703125,0.7171875,0.710625,0.72859375,0.665,0.6875,0.039865117906225586,0.001710206677951633,0.022491665122884946,0.020245707492577293
8.432441997528077,0.06921525001525879,0.72,0.742125,3,30,"{'Boost__base_estimator__max_depth': 3, 'Boost__n_estimators': 30}",364,0.735,0.7609375,0.72625,0.758125,0.71625,0.73921875,0.714375,0.7296875,0.708125,0.72265625,0.251565374425969,0.0073454166742203545,0.009495064507416457,0.015179460320610887
9.706234645843505,0.07699389457702636,0.7185,0.7415624999999999,3,45,"{'Boost__base_estimator__max_depth': 3, 'Boost__n_estimators': 45}",365,0.7275,0.7546875,0.725,0.76015625,0.71625,0.73921875,0.715625,0.73109375,0.708125,0.72265625,1.2885690707283157,0.008472471591111164,0.006988830374247185,0.014074994449377223
