iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
580,7.50E-34,0.188961057,0.194802447,1,0.80875,0.803,1,0.809383418,0.803544922,49485.27892
590,2.75E-33,0.189142945,0.195245183,1,0.80875,0.803,1,0.809464956,0.803564113,50204.13857
600,3.07E-33,0.190253222,0.19761231,1,0.80875,0.8005,1,0.809414569,0.801035612,50922.21981
610,3.99E-30,0.190672802,0.19870877,1,0.80875,0.799,1,0.809445329,0.799489725,51640.41547
620,0.000156246,0.190151864,0.199237654,0.99984375,0.808125,0.798,0.99984375,0.808896518,0.798509551,52359.27275
630,1.43E-33,0.19093994,0.199801571,1,0.8075,0.797,1,0.808359149,0.79746301,53077.44716
640,1.86E-33,0.190059101,0.19866935,1,0.8075,0.799,1,0.808307658,0.799378826,53795.21789
650,1.46E-33,0.18922987,0.199077337,1,0.809375,0.798,1,0.810241477,0.798347108,54512.30061
660,1.15E-33,0.189166175,0.19832888,1,0.809375,0.799,1,0.810153991,0.79929236,55229.37494
670,3.15E-31,0.189210511,0.200111846,1,0.80875,0.7975,1,0.809546456,0.797867858,55949.56157
680,1.56E-33,0.19011111,0.200279429,1,0.808125,0.797,1,0.808992335,0.797495659,56668.90687
690,2.70E-31,0.189980905,0.19996961,1,0.8075,0.799,1,0.808454992,0.799379164,57385.95953
700,9.22E-33,0.190045089,0.198583964,1,0.80875,0.799,1,0.80961428,0.799300001,58102.28645
710,6.75E-24,0.191996034,0.19978058,1,0.805625,0.7985,1,0.806623904,0.798728519,58818.30296
720,7.20E-34,0.191043932,0.198829845,1,0.8075,0.799,1,0.808467528,0.799298554,59535.02763
730,0.00015625,0.190163074,0.198817957,0.99984375,0.808125,0.8,0.99984375,0.808980195,0.800051417,60251.59381
740,0.00015625,0.189464153,0.197073665,0.99984375,0.80875,0.8015,0.99984375,0.809546046,0.801449786,60969.40245
750,9.66E-33,0.187899865,0.196610364,1,0.810625,0.802,1,0.811420236,0.801931618,61924.09547
760,1.18E-32,0.188739496,0.197571802,1,0.809375,0.801,1,0.810166779,0.801090106,62842.11296
770,4.75E-05,0.189578102,0.197903569,0.99984375,0.80875,0.799,0.99984375,0.809560718,0.798913814,63583.596
780,9.62E-34,0.18820969,0.197763065,1,0.809375,0.799,1,0.810265653,0.798805259,64338.11472
790,3.85E-33,0.189998652,0.19704343,1,0.806875,0.801,1,0.807686934,0.800783204,65056.34066
800,1.40E-32,0.190063099,0.19705791,1,0.8075,0.8005,1,0.808243448,0.800351728,65798.41047
810,4.64E-34,0.189686892,0.197678183,1,0.808125,0.8005,1,0.808883902,0.800361585,66529.49654
