iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.886478599692,0.891824822955,0.889652975924,0.09828125,0.091875,0.0935,0.0545229824774,0.047908297658,0.049103718902,320.6381038
10,0.898158033307,0.904590684366,0.903883583929,0.081875,0.075625,0.0765,0.061179947229,0.0607499195213,0.0567401576903,2990.6133119
20,0.923041857877,0.916559232698,0.919641904717,0.0615625,0.068125,0.065,0.0466376482987,0.0553580968443,0.0471618194028,5767.6893312
30,0.931354246214,0.935181748392,0.932160211307,0.0521875,0.049375,0.053,0.0427995714089,0.0404650279674,0.0422188916373,8543.5014804
40,0.914662082746,0.918112031293,0.917057577979,0.06828125,0.0625,0.0665,0.0541251175224,0.0490694268568,0.0513181267677,11352.3663278
50,0.922780043921,0.923523516246,0.920351902583,0.06203125,0.0575,0.0635,0.0482954626186,0.0458473755062,0.0482541251474,14254.0684812
60,0.92187889944,0.923816341633,0.926557157713,0.06234375,0.060625,0.0595,0.0477218009444,0.0487538270602,0.047355797166,17180.4335428
70,0.921797386497,0.920924571093,0.92588681171,0.0625,0.06,0.06,0.0499078975951,0.0497182107866,0.0489259198898,20118.943399
80,0.920129685612,0.922155491779,0.923941654077,0.06375,0.060625,0.0605,0.0502572794953,0.0500334117657,0.0489349755046,22969.2000247
90,0.918948696192,0.924787948924,0.920848891665,0.06484375,0.06,0.062,0.0519182394676,0.048609781456,0.0498894514036,25819.1334272
100,0.918398878916,0.922403426859,0.921188558986,0.06578125,0.06125,0.063,0.05193528039,0.0488688055,0.0506121236104,28701.008574
110,0.919126920876,0.922345106227,0.921369798002,0.06546875,0.061875,0.0645,0.0520653710102,0.0500908581735,0.0514809946612,31495.8211495
120,0.918948516427,0.922022219693,0.92145701336,0.06546875,0.061875,0.0635,0.0521461630847,0.0500472297304,0.050965954544,34318.9183627
130,0.91959416029,0.922958490136,0.921750486784,0.065,0.061875,0.064,0.0519214061098,0.0499379279915,0.0508670280134,37337.4802501
140,0.919219158674,0.922673628783,0.921767742926,0.0653125,0.06125,0.064,0.0519782534068,0.0494654146419,0.0509061955035,40175.5601213
150,0.919714116059,0.922968536686,0.921936930854,0.065,0.060625,0.0635,0.0517727114509,0.048493287218,0.0506498657832,43187.7020308
160,0.919600423769,0.922797313975,0.921873491007,0.065,0.06125,0.0645,0.0517783629992,0.0493810327929,0.0513377295208,46320.0948009
170,0.919485568408,0.922880235145,0.921807122643,0.065,0.06125,0.064,0.0518622456345,0.0493653048207,0.0508733664844,49323.0033209
180,0.91945636172,0.92287609874,0.92170858924,0.0653125,0.06125,0.0645,0.0521491936531,0.0493657106448,0.051364862145,52334.4706682
190,0.919163685883,0.922268541459,0.92101501824,0.0659375,0.06125,0.064,0.0523361703884,0.0492549962966,0.0511206225444,55474.905239
200,0.919407758625,0.922648952207,0.9212673871,0.06546875,0.06125,0.064,0.0520420427882,0.0492171087918,0.0510801259715,58533.251989
