iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.917596837903,0.9267435217,0.921908371993,0.064375,0.05375,0.0605,0.0616745200011,0.0515745033363,0.0574462274434,20.5358562
10,0.917320739577,0.926717620833,0.921467108692,0.06421875,0.05375,0.061,0.061446912603,0.0514730101975,0.0580730427158,215.6108476
20,0.917222666905,0.92653742967,0.921068498185,0.06421875,0.054375,0.0615,0.0615957047351,0.0518052670316,0.058458138451,411.888438
30,0.917211669706,0.926350186259,0.920831175024,0.06421875,0.055,0.0625,0.0615043025418,0.0521852800941,0.0596911881453,608.0640938
40,0.917262307693,0.926254878631,0.920939794349,0.06453125,0.055,0.0625,0.0617976692079,0.052128427001,0.0593277087659,804.3088876
50,0.917273943938,0.926551078762,0.920985372726,0.064375,0.055,0.0625,0.0616209195041,0.0522114864544,0.0593408596287,1003.2389796
60,0.917198022629,0.926364529404,0.920452717385,0.06421875,0.055,0.064,0.0613094563022,0.0520274916022,0.0608020614639,1201.9724168
70,0.917340962316,0.926630121185,0.920497810539,0.06421875,0.054375,0.063,0.061382880559,0.0513410503582,0.0595822936655,1400.9084177
80,0.917404697909,0.926594674689,0.920611162224,0.06421875,0.054375,0.063,0.0613808063237,0.0514416022033,0.0596188895265,1603.4288754
90,0.917909429235,0.926424899908,0.920877167229,0.0640625,0.05375,0.0615,0.0612474130411,0.0506014136099,0.0576669501465,1814.5052827
100,0.917869953038,0.926139599338,0.920615780986,0.0640625,0.054375,0.0625,0.0612920978949,0.0513588093046,0.0588588340755,2020.1801099
110,0.917811925467,0.926173055921,0.920614660743,0.0640625,0.054375,0.0625,0.0612564880094,0.0513713345645,0.0588588340755,2223.0106659
120,0.9175866925,0.926111293186,0.920362361079,0.06390625,0.054375,0.0615,0.0609962542163,0.0513478121145,0.0576491909929,2421.7819669
130,0.917747294745,0.926079199351,0.920447894059,0.06375,0.054375,0.0615,0.060850664688,0.0512658030113,0.0580162280817,2618.5018007
140,0.917746636405,0.926250389379,0.920330611209,0.0640625,0.054375,0.062,0.0610967062513,0.0513515135285,0.0587691129822,2815.120369
150,0.917668217072,0.925949219146,0.920266602829,0.0640625,0.054375,0.063,0.0612387579981,0.051507413077,0.0600369129528,3011.5515779
160,0.917488196465,0.925887366684,0.919974301983,0.0640625,0.054375,0.063,0.0611792421198,0.0514973086754,0.0600452906498,3207.9224661
170,0.917305485132,0.925563996709,0.91953266281,0.06390625,0.054375,0.0635,0.0610688389425,0.051644731445,0.0606687827973,3404.5274075
180,0.917563200762,0.925660522129,0.920011933379,0.06390625,0.055,0.0625,0.0608265107594,0.0527737626639,0.0591874918257,3600.6200306
190,0.917447102777,0.925981343638,0.920249503799,0.0640625,0.054375,0.062,0.0610291595176,0.0520265752044,0.0587580759521,3796.6171527
200,0.91742066838,0.925964269595,0.920276978114,0.0640625,0.054375,0.062,0.0610451246548,0.0520121901271,0.0588413779208,3992.5036202
210,0.917327208056,0.925579301131,0.920024120139,0.0640625,0.055,0.063,0.0610608176778,0.0524954172464,0.059638655175,4188.5570242
220,0.917108773448,0.925359299519,0.919943985562,0.064375,0.054375,0.063,0.0614192367609,0.0519844850963,0.059638655175,4384.5591013
230,0.917172435112,0.925472418417,0.919839823892,0.06421875,0.055,0.063,0.0612120096629,0.0524163463589,0.0596652579135,4580.7371399
240,0.917250923728,0.925617635148,0.919908484189,0.06421875,0.054375,0.063,0.0610926287448,0.0517311883335,0.0596277034088,4776.6277818
250,0.917441293447,0.926066166976,0.91984863581,0.0640625,0.05375,0.063,0.0608856207952,0.0511250212107,0.0596638793614,4973.2971234
260,0.917555773495,0.926050659979,0.920102417762,0.0640625,0.05375,0.0625,0.0609303518607,0.0511260909926,0.0591068395323,5169.4142252
270,0.917426411746,0.92598136084,0.920091777418,0.064375,0.05375,0.0625,0.061361946262,0.0507943119388,0.0591248852526,5365.4327604
280,0.917567164375,0.925934493205,0.920068723669,0.06390625,0.054375,0.0625,0.0608743594672,0.0519583062003,0.0590525608629,5561.3113794
290,0.917332276542,0.925845462826,0.919915533487,0.0640625,0.05375,0.0625,0.0609169726891,0.0512272816255,0.0589928148247,5757.4866317
300,0.917468746204,0.926247223395,0.920083042928,0.06390625,0.05375,0.063,0.0607030808061,0.0513644150329,0.0593150393714,5953.4516565
310,0.917248855399,0.925806817186,0.919924206225,0.06421875,0.054375,0.063,0.0610313230965,0.0516800326751,0.0594056797672,6149.4519862
320,0.917151879568,0.925645898912,0.919703365361,0.064375,0.055,0.063,0.0612208659189,0.0520682548492,0.0594058081719,6345.4005682
330,0.916950751979,0.925647095495,0.919626877001,0.06453125,0.055,0.0635,0.0615018229878,0.0520417529031,0.0597453754474,6541.3618016
340,0.917126224826,0.925676018693,0.919762600132,0.0640625,0.054375,0.0635,0.0609575195025,0.0516661997292,0.0598031430807,6737.4366666
350,0.916788415226,0.925557403869,0.919367529554,0.0646875,0.055,0.063,0.0616619905468,0.0524613909887,0.059399625176,6933.4709953
360,0.916511899426,0.925585731531,0.919334897965,0.0646875,0.055,0.063,0.0616790580344,0.0524649978785,0.0594417401379,7129.4221914
370,0.916808647769,0.925677387839,0.919527491329,0.06421875,0.055,0.0635,0.0610045860835,0.0523300509356,0.0600056218206,7325.3689945
380,0.917055783419,0.925606135641,0.919766858794,0.064375,0.055,0.062,0.0613645019774,0.0524077017471,0.0584193092684,7521.3936459
